ip_first, ip_last, as_number,
2001:428:2500:1c::,2001:428:2500:1c:ffff:ffff:ffff:ffff,49,
2001:428:2500:1d::,2001:428:2500:20:ffff:ffff:ffff:ffff,209,
2001:428:2500:21::,2001:428:2500:21:ffff:ffff:ffff:ffff,6223,
2001:428:2500:22::,2001:428:2500:23:ffff:ffff:ffff:ffff,209,
2001:428:2500:24::,2001:428:2500:24:ffff:ffff:ffff:ffff,10616,
2001:428:2500:25::,2001:428:2500:27:ffff:ffff:ffff:ffff,209,
2001:428:2500:28::,2001:428:2500:28:ffff:ffff:ffff:ffff,6223,
2001:428:2500:29::,2001:428:2500:2ff:ffff:ffff:ffff:ffff,209,
2001:428:2500:300::,2001:428:2500:3ff:ffff:ffff:ffff:ffff,6224,
2001:428:2500:400::,2001:428:2500:ffff:ffff:ffff:ffff:ffff,209,
2001:428:2501::,2001:428:2501:ffff:ffff:ffff:ffff:ffff,2714,
2001:428:2502::,2001:428:3801:8:ffff:ffff:ffff:ffff,209,
2001:428:3801:9::,2001:428:3801:9:ffff:ffff:ffff:ffff,3909,
2001:428:3801:a::,2001:428:3806:ffff:ffff:ffff:ffff:ffff,209,
2001:428:3807::,2001:428:3807:ffff:ffff:ffff:ffff:ffff,18703,
2001:428:3808::,2001:428:4002:ffff:ffff:ffff:ffff:ffff,209,
2001:428:4003::,2001:428:4003:ffff:ffff:ffff:ffff:ffff,26062,
2001:428:4004::,2001:428:4004:ffff:ffff:ffff:ffff:ffff,32571,
2001:428:4005::,2001:428:4402:3ff:ffff:ffff:ffff:ffff,209,
2001:428:4402:400::,2001:428:4402:4ff:ffff:ffff:ffff:ffff,16625,
2001:428:4402:500::,2001:428:4402:ffff:ffff:ffff:ffff:ffff,209,
2001:428:4403::,2001:428:4403:ffff:ffff:ffff:ffff:ffff,35994,
2001:428:4404::,2001:428:4405:1ff:ffff:ffff:ffff:ffff,209,
2001:428:4405:200::,2001:428:4405:2ff:ffff:ffff:ffff:ffff,16625,
2001:428:4405:300::,2001:428:4406:ffff:ffff:ffff:ffff:ffff,209,
2001:428:4407::,2001:428:4407:ffff:ffff:ffff:ffff:ffff,706,
2001:428:4408::,2001:428:4802:ffff:ffff:ffff:ffff:ffff,209,
2001:428:4803::,2001:428:4803:ffff:ffff:ffff:ffff:ffff,19603,
2001:428:4804::,2001:428:4809:ffff:ffff:ffff:ffff:ffff,209,
2001:428:480a::,2001:428:480a:0:ffff:ffff:ffff:ffff,2714,
2001:428:480a:1::,2001:428:5002:ff:ffff:ffff:ffff:ffff,209,
2001:428:5002:100::,2001:428:5002:100:ffff:ffff:ffff:ffff,13684,
